tag_number_masked,date_of_infraction,infraction_code,infraction_description,set_fine_amount,time_of_infraction,location1,location2,location3,location4,province
***73459,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0001,N/S,LOWTHER AVE,E/O,HURON ST,ON
***73460,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0003,E/S,HURON ST,N/O,BLOOR ST W,ON
***88261,20240101,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,0003,OPP,28 EDWARD ST,,,ON
***73461,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0004,E/S,HURON ST,N/O,BLOOR ST W,ON
***93989,20240101,8,STAND VEH.-PROHIBIT TIME/DAY,100,0005,NR,3 LOWER JARVIS ST,,,ON
***40169,20240101,8,STAND VEH.-PROHIBIT TIME/DAY,100,0006,NR,3 LOWER JARVIS ST,,,ON
***11672,20240101,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0006,NR,7 PARLIAMENT ST,,,ON
***73462,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0006,E/S,HURON ST,N/O,BLOOR ST W,ON
***82284,20240101,14,PARK-OBSTRUCT (DRWAY/LANEWAY),50,0006,NR,54 EMERSON AVE,,,ON
***93990,20240101,8,STAND VEH.-PROHIBIT TIME/DAY,100,0006,NR,3 LOWER JARVIS ST,,,ON
***08670,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0007,NR,219 OSSINGTON AVE,,,ON
***40170,20240101,8,STAND VEH.-PROHIBIT TIME/DAY,100,0007,NR,3 LOWER JARVIS ST,,,ON
***73463,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0007,E/S,HURON ST,N/O,BLOOR ST W,ON
***08671,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0008,NR,219 OSSINGTON AVE,,,ON
***73464,20240101,29,PARK PROHIBITED TIME NO PERMIT,30,0008,E/S,HURON ST,N/O,BLOOR ST W,ON
